geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER,shift_px,ncc_before,ncc_after,ncc_verified
POINT (71.77888671478286 38.23418274469135),1236,768,384,71.77888671478286,38.23418274469135,False,False,100.0,100.0,-0.42351341247558594,-0.3525787889957428,-0.00423431396484375,0.0035247802734375,0.005509400274604559,129.77769470214844,0.09838370435430946,0.10248199254254532,True,3.6213910278555517,-9999,[],False,False,False,False,0.5510675212679661,0.13970279693603516,0.13970279693603516,True
POINT (72.09888671478285 38.23418274469135),1237,800,384,72.09888671478285,38.23418274469135,False,False,64.0,64.0,0.24391920864582062,22.640675991773605,0.0024391920864559324,-0.22640675991773662,0.22641989884831737,359.38274808865987,0.013344475980181928,0.03153591378133372,True,0.0,-9999,[],False,False,False,False,22.64198988483168,-0.11497951298952103,0.16202905774116516,True
POINT (72.73888671478285 38.23418274469135),1239,864,384,72.73888671478285,38.23418274469135,False,False,64.0,64.0,-0.10857225209474564,-0.4640125334262848,-0.0010833740234375,0.004638671875,0.0047635044902563095,166.83055114746094,0.03290023517567491,0.03682056100955433,True,0.0,-9999,[],False,False,False,False,0.47654544914583336,-0.04055948555469513,-0.04055948555469513,True
POINT (77.53888671478285 38.23418274469135),1254,1344,384,77.53888671478285,38.23418274469135,False,False,64.0,64.0,0.21908724308013916,0.16507172584533691,0.00219087243080196,-0.0016507172584567797,0.0027431349721468603,306.9962711949869,0.16081907565214343,0.1637930800739147,True,0.0,-9999,[],False,False,False,False,0.2743134972144354,-0.22323819994926453,-0.22323819994926453,True
POINT (85.53888671478285 38.23418274469135),1279,2144,384,85.53888671478285,38.23418274469135,False,False,64.0,64.0,0.030834415927529335,-0.1713571846485138,0.00030517578125,0.001712799072265625,0.001739773782901466,190.20077514648438,0.10476119261726549,0.10539887445174259,True,0.0,-9999,[],False,False,False,False,0.17410929307839007,-0.15351703763008118,-0.15351703763008118,True
POINT (86.81888671478285 38.23418274469135),1283,2272,384,86.81888671478285,38.23418274469135,False,False,64.0,64.0,0.3267629146575928,0.3475117087364197,0.003265380859375,-0.003475189208984375,0.004768610931932926,316.7625427246094,0.0721825600595265,0.07710307988996544,True,0.0,-9999,[],False,False,False,False,0.4770098427752109,-0.2873091697692871,-0.2873091697692871,True
POINT (74.01888671478285 37.91418274469136),1344,992,416,74.01888671478285,37.91418274469136,False,False,64.0,64.0,0.13888508081436157,15.069189116358757,0.0013888508081407736,-0.15069189116358928,0.15069829119477868,359.47194878211957,0.041694424977474366,0.05841349064730732,True,0.0,-9999,[],False,False,False,False,15.0698291194777,0.17791132628917694,0.41480007767677307,True
POINT (74.97888671478285 37.91418274469136),1347,1088,416,74.97888671478285,37.91418274469136,False,False,64.0,64.0,0.22462423145771027,0.1643083542585373,0.0022430419921875,-0.001644134521484375,0.002781081711873412,306.18475341796875,0.027459989225407627,0.027587494011130923,True,0.0,-9999,[],False,False,False,False,0.27830429503893034,-0.09675155580043793,-0.09675155580043793,True
POINT (78.17888671478285 37.91418274469136),1357,1408,416,78.17888671478285,37.91418274469136,False,False,64.0,64.0,-0.35285118222236633,0.4102935194969177,-0.0035247802734375,-0.0041046142578125,0.005410354118794203,40.69541931152344,0.4200448466627089,0.42924134793987334,True,0.0,-9999,[],False,False,False,False,0.5411512994873885,0.15072469413280487,0.15072469413280487,True
POINT (81.37888671478285 37.91418274469136),1367,1728,416,81.37888671478285,37.91418274469136,False,False,64.0,64.0,0.352880597114563,0.3462661802768707,0.00353240966796875,-0.0034637451171875,0.004947266541421413,314.45794677734375,0.05699829231764662,0.06842692031254953,True,0.0,-9999,[],False,False,False,False,0.49439355115481115,0.16394661366939545,0.16394661366939545,True
